method,parameters,n_components,clustering,average_score
PCA,"{'n_components': 5, 'svd_solver': 'randomized', 'tol': 0.001}",5,gmm,0.23664334951100857
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0}",5,kmeans,0.23921937610917676
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0}",5,spectral,0.21588242064466467
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0}",5,agglomerative,0.27398876918875015
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0}",5,hdbscan,0.385832323867
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0}",5,gmm,0.23782317954275584
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0001}",5,kmeans,0.23921937610917676
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0001}",5,spectral,0.21588242064466467
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0001}",5,agglomerative,0.27398876918875015
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0001}",5,hdbscan,0.385832323867
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.0001}",5,gmm,0.23782317954275584
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.001}",5,kmeans,0.23921937610917676
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.001}",5,spectral,0.21588242064466467
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.001}",5,agglomerative,0.27398876918875015
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.001}",5,hdbscan,0.385832323867
PCA,"{'n_components': 5, 'svd_solver': 'full', 'tol': 0.001}",5,gmm,0.23782317954275584
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 4}",2,kmeans,0.3745686512467915
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 4}",2,spectral,0.21498140081718758
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 4}",2,agglomerative,0.254932507358093
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 4}",2,hdbscan,0.3478417004893928
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 4}",2,gmm,0.2867192835445591
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 8}",2,kmeans,0.3745686512467915
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 8}",2,spectral,0.21498140081718758
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 8}",2,agglomerative,0.254932507358093
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 8}",2,hdbscan,0.3478417004893928
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 8}",2,gmm,0.2867192835445591
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 10}",2,kmeans,0.3745686512467915
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 10}",2,spectral,0.21498140081718758
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 10}",2,agglomerative,0.254932507358093
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 10}",2,hdbscan,0.3478417004893928
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 2, 'n_init': 10}",2,gmm,0.2867192835445591
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 4}",3,kmeans,0.25214375971935704
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 4}",3,spectral,0.2449615444230341
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 4}",3,agglomerative,0.3425681730358748
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 4}",3,hdbscan,0.34599032198480184
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 4}",3,gmm,0.25316781907415514
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 8}",3,kmeans,0.24740514296265326
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 8}",3,spectral,0.2553131874818085
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 8}",3,agglomerative,0.2814364607056617
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 8}",3,hdbscan,0.33896786343112223
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 8}",3,gmm,0.22951631904962505
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 10}",3,kmeans,0.24740514296265326
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 10}",3,spectral,0.2553131874818085
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 10}",3,agglomerative,0.2814364607056617
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 10}",3,hdbscan,0.33896786343112223
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 3, 'n_init': 10}",3,gmm,0.22951631904962505
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 4}",4,kmeans,0.31434489889880013
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 4}",4,spectral,0.18891103586524066
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 4}",4,agglomerative,0.2532584911731338
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 4}",4,hdbscan,0.3192129239777102
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 4}",4,gmm,0.3291389565951572
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 8}",4,kmeans,0.3477620070853324
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 8}",4,spectral,0.3598826747831794
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 8}",4,agglomerative,0.26354027840961275
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 8}",4,hdbscan,0.3150593291361503
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 8}",4,gmm,0.32533485987957156
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 10}",4,kmeans,0.3477620070853324
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 10}",4,spectral,0.3598826747831794
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 10}",4,agglomerative,0.26354027840961275
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 10}",4,hdbscan,0.3150593291361503
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 4, 'n_init': 10}",4,gmm,0.32533485987957156
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 4}",5,kmeans,0.2586197739279467
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 4}",5,spectral,0.20370195945719843
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 4}",5,agglomerative,0.26660781545726087
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 4}",5,hdbscan,0.32507599080909155
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 4}",5,gmm,0.3272845782198319
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 8}",5,kmeans,0.23696032828615948
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 8}",5,spectral,0.2796827433679699
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 8}",5,agglomerative,0.22395464421925243
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 8}",5,hdbscan,0.3199707707172586
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 8}",5,gmm,0.25332208604251
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 10}",5,kmeans,0.23881161141191173
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 10}",5,spectral,0.21482578263991672
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 10}",5,agglomerative,0.3581006592298024
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 10}",5,hdbscan,0.32664256704728556
MDS,"{'max_iter': 300, 'metric': True, 'n_components': 5, 'n_init': 10}",5,gmm,0.24881616883165195
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 4}",2,kmeans,0.08722343881783227
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 4}",2,spectral,0.0944630501960895
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 4}",2,agglomerative,0.10937876784102138
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 4}",2,hdbscan,0.08036396000385018
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 4}",2,gmm,0.09283321514803185
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 8}",2,kmeans,0.08443916851866431
MDS,"{'max_iter': 300, 'metric': False, 'n_components': 2, 'n_init': 8}",2,spectral,0.09059490948132173
