method,parameters,n_components,clustering,average_score
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",4,kmeans,0.20335366153028256
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",4,spectral,0.294396356645957
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",4,agglomerative,0.1580826533048323
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",4,hdbscan,0.2587916143879243
PCA,"{'n_components': 4, 'svd_solver': 'covariance_eigh', 'tol': 0.001}",4,gmm,0.1962572465418233
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0}",4,kmeans,0.1648520139519906
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0}",4,spectral,0.15122923931512663
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0}",4,agglomerative,0.1580826533048323
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0}",4,hdbscan,0.2587916143879243
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0}",4,gmm,0.1962572465418233
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0001}",4,kmeans,0.20335366153028256
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0001}",4,spectral,0.294396356645957
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0001}",4,agglomerative,0.1580826533048323
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0001}",4,hdbscan,0.2587916143879243
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.0001}",4,gmm,0.1962572465418233
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.001}",4,kmeans,0.1648520139519906
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.001}",4,spectral,0.15165126744690652
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.001}",4,agglomerative,0.1580826533048323
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.001}",4,hdbscan,0.2587916143879243
PCA,"{'n_components': 4, 'svd_solver': 'randomized', 'tol': 0.001}",4,gmm,0.1962572465418233
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0}",4,kmeans,0.20335366153028256
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0}",4,spectral,0.294396356645957
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0}",4,agglomerative,0.1580826533048323
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0}",4,hdbscan,0.2587916143879243
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0}",4,gmm,0.1962572465418233
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0001}",4,kmeans,0.20335366153028256
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0001}",4,spectral,0.294396356645957
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0001}",4,agglomerative,0.1580826533048323
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0001}",4,hdbscan,0.2587916143879243
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.0001}",4,gmm,0.1962572465418233
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.001}",4,kmeans,0.20335366153028256
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.001}",4,spectral,0.294396356645957
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.001}",4,agglomerative,0.1580826533048323
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.001}",4,hdbscan,0.2587916143879243
PCA,"{'n_components': 4, 'svd_solver': 'full', 'tol': 0.001}",4,gmm,0.1962572465418233
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",5,kmeans,0.17565692243067677
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",5,spectral,0.1398521237454763
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",5,agglomerative,0.23986166120015254
PCA,"{'n_components': 5, 'svd_solver': 'covariance_eigh', 'tol': 0.0}",5,hdbscan,0.2663133604818173
